rank,opcode,block_count,project_count,block_percent,project_percent
1,data_setvariableto,112074,272,6.8968,96.5
2,operator_equals,101943,271,6.2734,96.1
3,argument_reporter_string_number,97508,207,6.0005,73.4
4,control_if,83154,272,5.1171,96.5
5,data_itemoflist,59311,216,3.6499,76.6
6,procedures_call,56948,246,3.5045,87.2
7,operator_add,50243,235,3.0919,83.3
8,control_if_else,48778,268,3.0017,95.0
9,operator_subtract,38925,251,2.3954,89.0
10,looks_costume,38280,279,2.3557,98.9
11,looks_switchcostumeto,38250,279,2.3538,98.9
12,data_addtolist,34212,225,2.1053,79.8
13,operator_multiply,34019,245,2.0935,86.9
14,data_changevariableby,33831,272,2.0819,96.5
15,event_whenbroadcastreceived,32895,276,2.0243,97.9
16,control_wait,28678,276,1.7648,97.9
17,control_repeat,27921,277,1.7182,98.2
18,looks_hide,27023,274,1.6629,97.2
19,operator_gt,24690,260,1.5194,92.2
20,operator_lt,22164,260,1.3639,92.2
21,data_replaceitemoflist,22071,189,1.3582,67.0
22,operator_not,19957,268,1.2281,95.0
23,operator_or,19946,253,1.2274,89.7
24,operator_and,19559,257,1.2036,91.1
25,control_forever,19077,277,1.174,98.2
26,motion_gotoxy,18700,279,1.1508,98.9
27,sensing_touchingobjectmenu,18356,254,1.1296,90.1
28,sensing_touchingobject,18354,254,1.1295,90.1
29,looks_show,17869,277,1.0996,98.2
30,operator_divide,14914,225,0.9178,79.8
31,procedures_prototype,14848,247,0.9137,87.6
32,operator_join,14664,201,0.9024,71.3
33,event_broadcast,14629,276,0.9002,97.9
34,procedures_definition,14598,247,0.8983,87.6
35,operator_random,14183,241,0.8728,85.5
36,control_create_clone_of_menu,13816,262,0.8502,92.9
37,control_create_clone_of,13814,262,0.8501,92.9
38,looks_seteffectto,13493,263,0.8303,93.3
39,event_whenflagclicked,13270,282,0.8166,100.0
40,control_stop,12582,253,0.7743,89.7
41,looks_costumenumbername,11592,228,0.7134,80.9
42,control_delete_this_clone,11089,257,0.6824,91.1
43,operator_mathop,11027,193,0.6786,68.4
44,control_wait_until,10309,251,0.6344,89.0
45,looks_gotofrontback,9767,263,0.601,93.3
46,control_start_as_clone,9208,261,0.5666,92.6
47,control_repeat_until,8914,257,0.5486,91.1
48,looks_setsizeto,8653,262,0.5325,92.9
49,sound_sounds_menu,8179,264,0.5033,93.6
50,motion_xposition,8100,233,0.4985,82.6
51,sensing_mousedown,7834,251,0.4821,89.0
52,sensing_keyoptions,7469,228,0.4596,80.9
53,sensing_keypressed,7463,228,0.4593,80.9
54,data_deletealloflist,7376,215,0.4539,76.2
55,sound_play,6941,215,0.4271,76.2
56,motion_changexby,6873,247,0.423,87.6
57,data_itemnumoflist,6872,150,0.4229,53.2
58,data_lengthoflist,6615,187,0.4071,66.3
59,motion_changeyby,6554,247,0.4033,87.6
60,motion_yposition,6469,234,0.3981,83.0
61,argument_reporter_boolean,6199,45,0.3815,16.0
62,looks_changeeffectby,6013,255,0.37,90.4
63,operator_letter_of,5382,171,0.3312,60.6
64,motion_pointindirection,5321,243,0.3274,86.2
65,looks_nextcostume,5009,238,0.3082,84.4
66,data_deleteoflist,4814,170,0.2962,60.3
67,operator_contains,3868,122,0.238,43.3
68,looks_changesizeby,3845,225,0.2366,79.8
69,sensing_of_object_menu,3828,165,0.2356,58.5
70,sensing_of,3826,165,0.2354,58.5
71,data_listcontainsitem,3506,146,0.2158,51.8
72,operator_round,3429,139,0.211,49.3
73,looks_cleargraphiceffects,3015,183,0.1855,64.9
74,motion_movesteps,2661,183,0.1638,64.9
75,data_hidevariable,2536,177,0.1561,62.8
76,looks_size,2409,155,0.1482,55.0
77,motion_direction,2163,141,0.1331,50.0
78,operator_mod,2103,100,0.1294,35.5
79,sensing_answer,2066,147,0.1271,52.1
80,motion_turnright,1990,206,0.1225,73.0
81,event_broadcastandwait,1960,159,0.1206,56.4
82,operator_length,1949,165,0.1199,58.5
83,sensing_timer,1925,118,0.1185,41.8
84,looks_goforwardbackwardlayers,1832,173,0.1127,61.3
85,motion_goto,1743,202,0.1073,71.6
86,motion_goto_menu,1743,202,0.1073,71.6
87,motion_setx,1695,171,0.1043,60.6
88,sensing_mousex,1637,166,0.1007,58.9
89,event_whenbackdropswitchesto,1586,34,0.0976,12.1
90,looks_backdrops,1574,206,0.0969,73.0
91,looks_switchbackdropto,1561,206,0.0961,73.0
92,sensing_username,1493,129,0.0919,45.7
